,province,id1,id2,barandegi,barandegi2,seil,arbaen1,arbaen2,budget,pas andaz,death by accident 1,death by accident 2,nerkh bikari1,nerkh bikari 2,accident(optional),بیشترین بودجه,پهنه بندی ,تورم نقطه به نقطه ,سونامی سیل در ایران,شاخص کل قیمت ها,شادکامی,متوسط زمان مکالمه,موج دوم بارندگی ها,نرخ بیکاری,هواشناسی سال آبی جاری,سپرده بانکی,شاخص مصدومیت,شاخص مرگ,رشد طلاق به ازدواج,نرخ تورم,خطر سیل,تعداد شهدا,استان های دچار سیل زدگی,فارغ التحصیلان بیکار,تعداد امامزاده,تورم بهمن 97,نرخ مهاجرت,gerayeshSiasiDolat12,chekBargashtiShahrivar97,atashSuziTaPayanMordad98,kasbOkar97,ehtemalSeyl980409,mahrumiatGhazaei,riskSarmazadegi98,gosalHa,madarekTahsiliJali
0,Alborz,IR-32,IR.AL,577,3,2,85272,3.2,1,2,298,2,15.8,2,0,4850000,3,47.2,0,177,3,2,1,16.5,494.4,14.1,100,34,2,30.3,1,3959,1,2,106,36.3,2,1,37800,0,3,0,0,3,0,4
1,Ardebil,IR-03,IR.AR,277,2,1,27245,2.2,1,9,231,2,8.7,1,0,5500000,2,52.5,0,180,2,1,2,14.8,323.4,8.7,200,34,2,29.1,1,2934,1,2,131,37.6,2,3,19600,0,0,1,0,3,0,0
2,Bushehr,IR-06,IR.BS,303,2,2,83357,7.2,2,7,271,2,10.8,1,0,9700000,3,56.4,0,182,4,2,1,14,362.6,15.6,220,63,2,28,2,1885,2,2,307,46.5,2,2,4800,0,0,0,0,0,0,0
3,Chahar Mahall and Bakhtiari,IR-08,IR.CM,973,4,2,26432,2.8,1,5,237,2,17,2,0,4800000,4,57.6,0,199.2,2,2,2,16.8,827.3,10.6,80,39,3,29.4,2,2160,2,4,106,52,2,2,10300,0,0,0,0,2,0,0
4,East Azarbaijan,IR-01,IR.EA,356,2,2,106171,2.8,2,4,843,3,11,1,0,9600000,2,53,0,186.9,3,2,2,15.5,361.3,13.01,280,43,3,29.6,1,8756,1,3,316,45.4,1,2,88800,1,0,1,0,3,0,0
5,Esfahan,IR-04,IR.ES,191,1,2,262527,5.2,3,7,1127,4,14.1,2,2,11500000,1,45.5,0,173.6,3,2,1,15.8,195.9,19.2,305,79,3,26,1,21807,2,3,464,39,1,2,92000,0,0,0,0,1,1,2
6,Fars,IR-14,IR.FA,372,2,2,201324,4.2,4,6,1357,4,8.7,1,2,15100000,3,41.8,5,172.2,2,2,1,14.5,373.2,16.1,375,85,1,25,1,12926,2,3,1451,38,2,0,44300,0,0,0,0,1,0,0
7,Gilan,IR-19,IR.GI,971,4,1,51258,2.1,2,2,663,3,11.4,1,0,8000000,4,48.7,0,176.5,3,2,2,17,1088.2,11.6,240,50,4,25.3,1,6456,1,3,671,40,2,1,27200,0,2,1,0,3,0,0
8,Golestan,IR-27,IR.GO,674,3,1,38599,2.1,2,6,413,2,10.7,1,0,6500000,4,52.1,4,186.2,4,2,1,14,720.6,8.2,235,48,4,26.9,1,3329,2,2,130,43,2,3,17700,1,0,1,0,3,0,0
9,Hamadan,IR-24,IR.HD,601,3,2,65288,3.8,2,6,388,2,7.3,1,2,5500000,4,47.4,1,182.6,2,2,2,13.5,561.4,9.8,240,46,2,25,1,6487,2,2,218,41,2,1,22300,0,0,0,0,3,1,0
